graph,algo,num_nodes,num_edges,density,avg_degree,max_degree,clustering_coef,is_directed,num_components,is_connected,has_cycle,time
g4132.json,bfs,42,42,0.049,2.0,3,0.0,False,1,True,True,1.4e-05
g9700.json,bfs,63,62,0.032,1.9682539682539681,3,0.0,False,1,True,False,1.5e-05
g8812.json,bfs,1093,1092,0.002,1.9981701738334858,4,0.0,False,1,True,False,0.000363
g1330.json,bfs,30,63,0.145,4.2,9,0.18386243386243387,False,1,True,True,1.2e-05
g707.json,bfs,41,92,0.112,4.487804878048781,8,0.06370499419279907,False,1,True,True,1.3e-05
g4562.json,bfs,26,52,0.16,4.0,6,0.17307692307692307,False,1,True,True,9e-06
g9350.json,bfs,341,340,0.006,1.9941348973607038,5,0.0,False,1,True,False,6.4e-05
g4098.json,bfs,25,25,0.083,2.0,3,0.0,False,1,True,True,9e-06
g1760.json,bfs,11,10,0.182,1.8181818181818181,4,0.0,False,1,True,False,5e-06
g8392.json,bfs,31,30,0.065,1.935483870967742,3,0.0,False,1,True,False,1e-05
g7067.json,bfs,21,32,0.152,3.0476190476190474,4,0.0,False,1,True,True,8e-06
g2265.json,bfs,26,48,0.148,3.6923076923076925,16,0.41668192918192914,False,1,True,True,9e-06
g8668.json,bfs,127,126,0.016,1.984251968503937,3,0.0,False,1,True,False,2.8e-05
g82.json,bfs,22,37,0.16,3.3636363636363638,7,0.15432900432900432,False,1,True,True,0
g7437.json,bfs,48,82,0.073,3.4166666666666665,4,0.0,False,1,True,True,1.5e-05
g3927.json,bfs,17,42,0.309,4.9411764705882355,11,0.41941685765215175,False,1,True,True,6e-06
g2635.json,bfs,42,41,0.048,1.9523809523809523,7,0.0,False,1,True,False,1.2e-05
g8238.json,bfs,364,363,0.005,1.9945054945054945,4,0.0,False,1,True,False,7e-05
g9583.json,bfs,5461,5460,0.0,1.999633766709394,5,0.0,False,1,True,False,0.001513
g5959.json,bfs,34,68,0.121,4.0,5,0.43431372549019615,False,1,True,True,1.2e-05
g7964.json,bfs,12,17,0.258,2.8333333333333335,4,0.0,False,1,True,True,5e-06
g6676.json,bfs,28,45,0.119,3.2142857142857144,4,0.0,False,1,True,True,9e-06
g3474.json,bfs,15,14,0.133,1.8666666666666667,7,0.0,False,1,True,False,6e-06
g1449.json,bfs,28,68,0.18,4.857142857142857,11,0.15429808286951147,False,1,True,True,9e-06
g9079.json,bfs,63,62,0.032,1.9682539682539681,3,0.0,False,1,True,False,1.5e-05
g6226.json,bfs,15,22,0.21,2.933333333333333,4,0.0,False,1,True,True,6e-06
g3024.json,bfs,19,18,0.105,1.894736842105263,11,0.0,False,1,True,False,6e-06
g584.json,bfs,23,79,0.312,6.869565217391305,11,0.3128866302779346,False,1,True,True,8e-06
g1019.json,bfs,44,155,0.164,7.045454545454546,11,0.17502459661550573,False,1,True,True,1.5e-05
g9429.json,bfs,121,120,0.017,1.9834710743801653,4,0.0,False,1,True,False,2.5e-05
g3531.json,bfs,50,225,0.184,9.0,21,0.28321926800409775,False,1,True,True,1.3e-05
g7821.json,bfs,16,24,0.2,3.0,4,0.0,False,1,True,True,6e-06
g6733.json,bfs,48,82,0.073,3.4166666666666665,4,0.0,False,1,True,True,1.5e-05
g3161.json,bfs,37,36,0.054,1.945945945945946,8,0.0,False,1,True,False,1.1e-05
g6699.json,bfs,32,52,0.105,3.25,4,0.0,False,1,True,True,1.1e-05
g9096.json,bfs,127,126,0.016,1.984251968503937,3,0.0,False,1,True,False,2.6e-05
g6363.json,bfs,49,84,0.071,3.4285714285714284,4,0.0,False,1,True,True,1.5e-05
g2320.json,bfs,41,40,0.049,1.951219512195122,16,0.0,False,1,True,False,1.1e-05
g992.json,bfs,45,149,0.151,6.622222222222222,13,0.14525844525844525,False,1,True,True,1.5e-05
g7122.json,bfs,36,60,0.095,3.3333333333333335,4,0.0,False,1,True,True,1.1e-05
g3862.json,bfs,43,156,0.173,7.255813953488372,20,0.2702432732186494,False,1,True,True,1.1e-05
g2770.json,dijkstra,13,40,0.513,6.153846153846154,11,0.6215229215229215,False,1,True,True,2.3e-05
